"species","decimalLatitude","decimalLongitude","country","eventDate"
"Apis mellifera",30.16665,-95.763138,"United States of America","2025-01-03T15:26"
"Apis mellifera",32.839872,-117.338236,"United States of America","2025-01-04T10:11:49"
"Apis mellifera",37.361954,-121.694114,"United States of America","2025-01-01T14:42"
"Apis mellifera",-32.257294,-58.421786,"Argentina","2025-01-04T15:55:55"
"Apis mellifera",33.416293,-111.724591,"United States of America","2025-01-04T13:01:52"
"Apis mellifera",20.637703,-100.4757,"Mexico","2025-01-04T14:14:18"
"Apis mellifera",-31.848134,152.211287,"Australia","2025-01-05T07:18:27"
"Apis mellifera",30.657788,-96.996273,"United States of America","2025-01-03T11:51"
"Apis mellifera",32.760655,-97.243837,"United States of America","2025-01-04T12:04:31"
"Apis mellifera",24.834405,121.020858,"Chinese Taipei","2025-01-04T14:46:42"
"Apis mellifera",34.279087,-118.737214,"United States of America","2025-01-04T11:50:57"
"Apis mellifera",-33.060943,-68.828443,"Argentina","2025-01-04T17:31:07"
"Apis mellifera",-41.204883,174.918246,"New Zealand","2025-01-03T15:58:12"
"Apis mellifera",33.022891,-97.146002,"United States of America","2025-01-04T17:31"
"Apis mellifera",32.666753,-97.471062,"United States of America","2025-01-04T16:37:17"
"Apis mellifera",37.978799,-122.032431,"United States of America","2025-01-04T15:05:50"
"Apis mellifera",36.125839,-114.719575,"United States of America","2025-01-04T12:17"
"Apis mellifera",28.074681,-82.371056,"United States of America","2025-01-04T14:19"
"Apis mellifera",-32.103239,151.846605,"Australia","2025-01-05T11:19:36"
"Apis mellifera",18.317129,-97.343665,"Mexico","2025-01-04T13:59:45"
"Apis mellifera",32.752501,-97.192457,"United States of America","2025-01-04T20:32"
"Apis mellifera",29.95233,-90.045844,"United States of America","2025-01-04T12:52:18"
"Apis mellifera",33.853142,-118.062989,"United States of America","2025-01-04T15:55:55"
"Apis mellifera",-26.13885,28.064368,"South Africa","2025-01-03T06:45"
"Apis mellifera",-26.138084,28.062486,"South Africa","2025-01-03T06:45"
"Apis mellifera",-26.137639,28.066128,"South Africa","2025-01-03T06:45"
"Apis mellifera",-26.138133,28.06421,"South Africa","2025-01-03T06:45"
"Apis mellifera",-28.544762,153.2357,"Australia","2025-01-05T16:32:53"
"Apis mellifera",-38.08584,145.130179,"Australia","2025-01-05T17:37:27"
"Apis mellifera",-33.942537,18.394997,"South Africa","2025-01-04T09:21:43"
"Apis mellifera",-37.866742,144.884033,"Australia","2025-01-05T16:33:11"
"Apis mellifera",-33.614514,26.882128,"South Africa","2025-01-03T15:25"
"Apis mellifera",42.039589,45.503578,"Georgia","2025-01-05T13:27:26"
"Apis mellifera",-32.044186,116.011933,"Australia","2025-01-05T17:58:59"
"Apis mellifera",-31.67985,116.641875,"Australia","2025-01-05T15:25"
"Apis mellifera",40.663489,22.949453,"Greece","2025-01-05T15:04"
"Apis mellifera",33.531629,-117.709833,"United States of America","2025-01-04T10:27"
"Apis mellifera",33.531259,-117.709889,"United States of America","2025-01-04T10:09"
"Apis mellifera",33.55181,-117.715237,"United States of America","2025-01-04T11:37"
"Apis mellifera",36.77026,-2.611458,"Spain","2025-01-05T12:40"
"Apis mellifera",43.78634,7.630347,"Italy","2025-01-04T12:28"
"Apis mellifera",29.583734,-95.814955,"United States of America","2025-01-03T13:31"
"Apis mellifera",18.42292,-77.154162,"Jamaica","2025-01-05T13:14:21"
"Apis mellifera",29.560374,-98.226343,"United States of America","2025-01-05T12:42:13"
"Apis mellifera",36.755624,2.906427,"Algeria","2025-01-05T14:41"
"Apis mellifera",26.371586,-81.61333,"United States of America","2025-01-05T10:42"
"Apis mellifera",29.645633,-98.501978,"United States of America","2025-01-04T16:43:16"
"Apis mellifera",32.775822,-117.198212,"United States of America","2025-01-05T11:52:52"
"Apis mellifera",28.479921,34.496734,"Egypt","2025-01-01T12:58"
"Apis mellifera",-37.250992,144.452775,"Australia","2025-01-03T09:24:04"
"Apis mellifera",34.377973,-118.468575,"United States of America","2025-01-05T12:53:04"
"Apis mellifera",-27.391013,-70.299418,"Chile","2025-01-05T18:00:07"
"Apis mellifera",-33.985344,25.371041,"South Africa","2025-01-02T23:03"
"Apis mellifera",29.553399,-98.530152,"United States of America","2025-01-05T14:33"
"Apis mellifera",28.647336,-96.605323,"United States of America","2025-01-05T15:54"
"Apis mellifera",38.251645,-121.982703,"United States of America","2025-01-05T13:04:56"
"Apis mellifera",38.212788,-122.124703,"United States of America","2025-01-05T11:17:12"
"Apis mellifera",26.302728,-97.524117,"United States of America","2025-01-05T16:37:51"
"Apis mellifera",40.644497,22.96255,"Greece","2025-01-01T13:57"
"Apis mellifera",32.998739,-116.939017,"United States of America","2025-01-05T09:58"
"Apis mellifera",33.419921,-112.540217,"United States of America","2025-01-05T16:17:11"
"Apis mellifera",-32.807971,151.688732,"Australia","2025-01-05T17:21:22"
"Apis mellifera",-23.465083,-46.735564,"Brazil","2025-01-05T09:27"
"Apis mellifera",19.597433,-101.63105,"Mexico","2025-01-05T11:41"
"Apis mellifera",23.098504,-109.711499,"Mexico","2025-01-05T17:14:02"
"Apis mellifera",-34.900428,138.583053,"Australia","2025-01-06T11:00:08"
"Apis mellifera",-32.017407,115.782184,"Australia","2025-01-04T14:26"
"Apis mellifera",33.511883,-111.884095,"United States of America","2025-01-05T13:03:30"
"Apis mellifera",37.354384,-121.889104,"United States of America","2025-01-04T14:03"
"Apis mellifera",29.459535,-98.457663,"United States of America","2025-01-05T10:54"
"Apis mellifera",33.513347,-111.883217,"United States of America","2025-01-05T12:47:53"
"Apis mellifera",-32.284372,-60.69227,"Argentina","2025-01-04T12:14"
"Apis mellifera",33.511997,-111.88395,"United States of America","2025-01-05T12:20:51"
"Apis mellifera",33.511897,-111.884108,"United States of America","2025-01-05T13:03:04"
"Apis mellifera",33.51203,-111.883912,"United States of America","2025-01-05T13:00:45"
"Apis mellifera",19.520506,-99.111272,"Mexico","2025-01-04T09:43:14"
"Apis mellifera",38.036772,-122.671328,"United States of America","2025-01-05T13:44:41"
"Apis mellifera",21.429679,-157.759594,"United States of America","2025-01-05T12:07:32"
"Apis mellifera",32.229962,-110.650216,"United States of America","2025-01-05T14:26"
"Apis mellifera",32.229962,-110.650216,"United States of America","2025-01-05T14:28"
"Apis mellifera",32.229962,-110.650216,"United States of America","2025-01-05T14:31"
"Apis mellifera",32.227711,-110.646665,"United States of America","2025-01-05T14:38"
"Apis mellifera",32.224897,-110.645441,"United States of America","2025-01-05T15:10"
"Apis mellifera",29.955917,-90.048058,"United States of America","2025-01-05T15:25:10"
"Apis mellifera",38.23633,-122.621987,"United States of America","2025-01-05T14:45:42"
"Apis mellifera",-33.730198,150.48446,"Australia","2025-01-06T13:54"
"Apis mellifera",20.768886,-105.537809,"Mexico","2025-01-05T16:29:47"
"Apis mellifera",-37.751809,145.696627,"Australia","2025-01-04T07:32"
"Apis mellifera",-37.754543,145.68285,"Australia","2025-01-04T10:27"
"Apis mellifera",-37.752954,145.6905,"Australia","2025-01-04T10:57"
"Apis mellifera",-37.771098,144.941898,"Australia","2025-01-05T22:20:08"
"Apis mellifera",29.579492,-95.096423,"United States of America","2025-01-05T10:16:30"
"Apis mellifera",26.408455,127.753967,"Japan","2025-01-06T13:25:24"
"Apis mellifera",29.095056,-95.27948,"United States of America","2025-01-05T10:24:06"
"Apis mellifera",-44.693636,169.132847,"New Zealand","2025-01-06T20:35:35"
"Apis mellifera",-37.850328,145.295355,"Australia","2025-01-06T19:33:19"
"Apis mellifera",-42.994994,147.39994,"Australia","2025-01-04T10:26"
"Apis mellifera",38.794539,-0.400277,"Spain","2025-01-06T12:47:16"
"Apis mellifera",-21.13358,148.528478,"Australia","2025-01-06T14:52"
"Apis mellifera",48.803574,9.238177,"Germany","2025-01-06T13:56:12"
"Apis mellifera",38.645083,0.069272,"Spain","2025-01-02T12:45"
"Apis mellifera",17.716458,-64.829872,"Virgin Islands (U.S.)","2025-01-05T12:47:26"
"Apis mellifera",33.859712,-118.387947,"United States of America","2025-01-06T08:32:55"
"Apis mellifera",-1.267186,36.821036,"Kenya","2025-01-06T07:15"
"Apis mellifera",16.496752,-61.479572,"Guadeloupe","2025-01-05T11:05"
"Apis mellifera",28.158625,-82.637214,"United States of America","2025-01-05T09:16"
"Apis mellifera",28.158625,-82.637214,"United States of America","2025-01-05T09:18"
"Apis mellifera",28.691931,-80.70748,"United States of America","2025-01-06T13:06"
"Apis mellifera",48.535152,9.284957,"Germany","2025-01-06T14:54:03"
"Apis mellifera",48.535152,9.284957,"Germany","2025-01-06T15:05:22"
"Apis mellifera",36.959933,-122.084542,"United States of America","2025-01-05T12:48:31"
"Apis mellifera",21.30202,-157.81518,"United States of America","2025-01-06T12:12:38"
"Apis mellifera",36.748116,2.972115,"Algeria","2025-01-06T14:12"
"Apis mellifera",33.969195,-118.418898,"United States of America","2025-01-05T10:09"
"Apis mellifera",21.481138,-87.6931,"Mexico","2025-01-06T09:22:04"
"Apis mellifera",-37.667287,145.163093,"Australia","2025-01-07T10:29:40"
"Apis mellifera",38.323434,-122.689373,"United States of America","2025-01-06T16:15:23"
"Apis mellifera",25.153255,-80.377084,"United States of America","2025-01-02T13:42"
"Apis mellifera",25.153255,-80.377084,"United States of America","2025-01-02T13:44"
"Apis mellifera",29.912204,-97.897311,"United States of America","2025-01-06T15:11"
"Apis mellifera",-40.744056,175.119083,"New Zealand","2025-01-07T12:42:42"
"Apis mellifera",-37.917073,145.326357,"Australia","2025-01-07T13:05:31"
"Apis mellifera",3.539008,-76.642792,"Colombia","2025-01-06T21:21:41"
"Apis mellifera",19.642732,-99.917121,"Mexico","2025-01-06"
"Apis mellifera",-31.811462,115.817703,"Australia","2025-01-06T18:02:40"
"Apis mellifera",32.670797,-17.065885,"Portugal","2025-01-06T10:09:51Z"
"Apis mellifera",-37.668273,148.413069,"Australia","2025-01-07T17:12"
"Apis mellifera",-36.7329,175.79408,"New Zealand","2025-01-07T10:55:42"
"Apis mellifera",-36.7329,175.79408,"New Zealand","2025-01-07T10:55:39"
"Apis mellifera",-34.418197,19.159942,"South Africa","2025-01-07T11:07:40"
"Apis mellifera",32.671404,-17.06464,"Portugal","2025-01-06"
"Apis mellifera",32.010469,34.744253,"Israel","2025-01-07T10:44:18"
"Apis mellifera",32.671404,-17.06464,"Portugal","2025-01-06"
"Apis mellifera",32.010506,34.744239,"Israel","2025-01-07T10:48:24"
"Apis mellifera",36.559416,8.755834,"Tunisia","2025-01-07T13:33:38"
"Apis mellifera",-33.32379,22.076788,"South Africa","2025-01-07T15:36:50"
"Apis mellifera",-26.808285,-65.21759,"Argentina","2025-01-06T15:54"
"Apis mellifera",23.459185,120.3211,"Chinese Taipei","2025-01-07T11:22"
"Apis mellifera",-23.566311,-46.730439,"Brazil","2025-01-07T10:35:11"
"Apis mellifera",30.624284,-88.264999,"United States of America","2025-01-03T12:17"
"Apis mellifera",-33.977312,18.419485,"South Africa","2025-01-07T12:01:46"
"Apis mellifera",-20.364465,-40.336377,"Brazil","2025-01-07T17:39"
"Apis mellifera",-33.018683,150.031136,"Australia","2025-01-04T09:54"
"Apis mellifera",28.826992,-17.825976,"Spain","2025-01-07T14:12:20Z"
"Apis mellifera",-33.438811,-70.643091,"Chile","2025-01-07T17:46"
"Apis mellifera",28.829575,-17.838908,"Spain","2025-01-07T12:59:27Z"
"Apis mellifera",28.831159,-17.83958,"Spain","2025-01-07T12:42:27Z"
"Apis mellifera",28.83365,-17.843544,"Spain","2025-01-07T12:40:23Z"
"Apis mellifera",35.313247,-120.838508,"United States of America","2025-01-07T10:11:16"
"Apis mellifera",28.827112,-17.853489,"Spain","2025-01-07T10:20:04Z"
"Apis mellifera",29.383737,-98.42903,"United States of America","2025-01-05T11:32:55"
"Apis mellifera",25.079036,-77.346433,"Bahamas","2025-01-07T11:34:40"
"Apis mellifera",39.731993,-7.76597,"Portugal","2025-01-02T16:23Z"
"Apis mellifera",32.875412,-117.248804,"United States of America","2025-01-07T15:11:56"
"Apis mellifera",19.464322,-99.045655,"Mexico","2025-01-04T12:59"
"Apis mellifera",19.464294,-99.045622,"Mexico","2025-01-05T10:46"
"Apis mellifera",25.079164,-77.348703,"Bahamas","2025-01-07T11:06:23"
"Apis mellifera",25.07895,-77.349156,"Bahamas","2025-01-07T11:06:08"
"Apis mellifera",25.07895,-77.349156,"Bahamas","2025-01-07T11:05:42"
"Apis mellifera",25.07895,-77.349156,"Bahamas","2025-01-07T11:05:34"
"Apis mellifera",25.079322,-77.348392,"Bahamas","2025-01-07T11:05:07"
"Apis mellifera",25.079322,-77.348392,"Bahamas","2025-01-07T11:04:49"
"Apis mellifera",20.688195,-156.443222,"United States of America","2025-01-06T16:43:56"
"Apis mellifera",-24.774717,-65.400787,"Argentina","2025-01-06T15:49:35"
"Apis mellifera",25.079322,-77.348392,"Bahamas","2025-01-07T11:04:24"
"Apis mellifera",25.079078,-77.348564,"Bahamas","2025-01-07T11:00:52"
"Apis mellifera",25.079078,-77.348564,"Bahamas","2025-01-07T11:00:52"
"Apis mellifera",25.079078,-77.348564,"Bahamas","2025-01-07T11:00:38"
"Apis mellifera",25.079308,-77.348392,"Bahamas","2025-01-07T10:55:44"
"Apis mellifera",24.665042,-81.257096,"United States of America","2025-01-05T14:16"
"Apis mellifera",-37.850494,145.295554,"Australia","2025-01-08T10:28:27"
"Apis mellifera",25.079308,-77.348392,"Bahamas","2025-01-07T10:55:23"
"Apis mellifera",25.044313,-77.350361,"Bahamas","2025-01-07T10:12:47"
"Apis mellifera",32.875378,-117.248817,"United States of America","2025-01-07T15:04:58"
"Apis mellifera",-37.981468,145.048968,"Australia","2025-01-08T11:26:58"
